Sl. No.,Metric Name,Definition,Preferred Direction
1,-1,-1,N/A
2,10%,10 percent,N/A
3,99.46%,Accuracy for face detection task,Higher 
4,1-1,1-1,N/A
5,1/2,1/2,NA
6,1/4,The accuracy of a model on the 1/4 detection task,Higher
7,(Recall@10+Recall@50)/2,(Recall at rank 10 + Recall at rank 50)/2 for recommendation system evaluation.,
8,(Recall@5+Recall_subset@1)/2,The average of Recall@5 and Recall_subset@1,Higher
9,{max}Fβ,A metric used to measure the performance of a machine learning model .,Higher
10,@cheek,@cheek,-
11,@forehead,A metric used to evaluate the performance of facial landmark detection models,Lower
12,@mouth,@mouth,-
13,@nose,@nose,N/A
14,\t ACCURACY,A metric used to measure the performance of a machine learning model .,Higher
15,# of clusters (k),Number of clusters,N/A
16,% < 11.25,% of pixels with error less than 11.25 degrees.,Higher
17,% < 22.5,Percentage less than 22.5,Higher 
18,% < 30,The percentage of predictions with a confidence score less than 30,Higher
19,% Dev Accuracy,Percentage Development Accuracy,Higher
20,% info,A metric used to evaluate the performance of recommendation models,Higher
21,% Test Accuracy,Percentage Test Accuracy,Higher
22,% Test Accuracy (Raw Data),Percentage test accuracy (raw data),Higher 
23,% Train Accuracy,A metric used to measure the performance of a machine learning model .,Higher
24,% True,Percentage of true values in a given binary classification task,Higher
25,% True (GPT-judge),The percentage of times a human judge thinks a model’s output is true,Higher
26,∆m%,∆m%,Higher
27,0…5sec,The accuracy of a model on the 0-5 second detection task,Higher
28,1 - LPIPS,A metric used to evaluate the performance of image generation models,Higher
29,1 in 10 R@1,A metric used to evaluate the performance of recommendation models,Higher
30,1 in 10 R@2,1 in 10 Recall at 2,Higher
31,1 in 10 R@5,1 in 10 recall at 5,Higher 
32,1 in 2 R@1,"The percentage of examples for which the correct answer is in the top 1 predictions, given that there are 2 correct answers",Higher
33,1 step MAE,A metric used to evaluate the performance of pose estimation models,Lower
34,1-NNA-CD,A metric used to evaluate the performance of image retrieval models,Lower
35,1-of-100 Accuracy,The accuracy of 1-of-100 classification.,Higher
36,1:1 Accuracy,1:1 accuracy,Higher 
37,1:3 Accuracy,1:3 accuracy,Higher 
38,"1'""",One-second voice activity detection error rate in a speech processing task.,Lower 
39,10 fold Cross validation,The cross-validation score of a model,Higher
40,10 steps MAE,A metric used to evaluate the performance of pose estimation models,Lower
41,10 way 1~2 shot,10 way 1~2 shot is a metric used to evaluate few-shot learning models. It measures the accuracy of a model when trained on only one or two examples per class and tested on ten classes.,Higher
42,10 way 5~10 shot,Classification accuracy on a 10-class task with 5 to 10 training examples per class,Higher
43,10-20% Mask PSNR,10-20% Mask Peak Signal-to-Noise Ratio,Higher
44,10-keyword Speech Commands dataset,10-keyword speech commands dataset,-
45,10-stage average accuracy,10-stage average accuracy,Higher 
46,12 steps MAE,12 steps Mean Absolute Error,Lower
47,12 steps MAPE,12 steps Mean Absolute Percentage Error,Lower
48,12 steps RMSE,12 steps Root Mean Squared Error,Lower
49,14 gestures accuracy,14 gestures accuracy,Higher
50,1x1 NLL,Negative log likelihood for 1x1 convolutional neural network,Lower
51,2-Class Accuracy,2-Class Accuracy,Higher
52,28 gestures accuracy,Classification accuracy for recognizing 28 hand gestures,Higher
53,3-class test accuracy,Accuracy of correctly classifying instances into one of three classes,Higher 
54,3-fold Accuracy,3-fold Accuracy,Higher
55,3:1 Accuracy,A metric used to evaluate the performance of natural language processing models,Higher
56,3D Annotations,3D Annotations,N/A
57,3DIoU,3D intersection over union,Higher 
58,3DMOTA,Multiple object tracking accuracy in three dimensions.,Higher
59,3DPCK,3D Pose Estimation,Higher
60,5 fold cross validation,Technique used to evaluate a model by splitting data into 5 equal parts and testing each part in turn,Not applicable
61,5 way 1~2 shot,A metric used to evaluate the performance of few-shot learning models,Higher
62,5 way 5~10 shot,Accuracy of a 5-way 5-10 shot classification task,Higher
63,9 steps MAE,9 steps Mean Absolute Error,Lower
